freq,psd_x,psd_y,psd_z,psd_xyz
157.0,6.740e+03,7.725e+04,2.695e+04,1.109e+05
158.5,1.135e+04,8.244e+04,2.947e+04,1.233e+05
160.0,1.247e+04,9.495e+04,3.095e+04,1.384e+05
161.4,1.198e+04,9.208e+04,2.796e+04,1.320e+05
162.9,1.027e+04,7.472e+04,2.057e+04,1.056e+05
164.4,7.203e+03,5.195e+04,1.115e+04,7.030e+04
165.9,5.982e+03,3.635e+04,5.520e+03,4.785e+04
167.4,6.554e+03,3.218e+04,4.346e+03,4.308e+04
168.9,5.888e+03,3.162e+04,4.445e+03,4.195e+04
170.4,5.845e+03,3.268e+04,4.793e+03,4.332e+04
171.9,5.782e+03,3.359e+04,6.005e+03,4.538e+04
173.4,6.512e+03,3.338e+04,7.636e+03,4.752e+04
174.9,8.479e+03,3.501e+04,8.858e+03,5.235e+04
176.4,9.349e+03,4.169e+04,1.003e+04,6.106e+04
177.9,7.594e+03,4.759e+04,1.087e+04,6.605e+04
179.4,7.995e+03,4.624e+04,1.156e+04,6.579e+04
180.9,1.396e+04,3.838e+04,1.212e+04,6.446e+04
182.4,1.797e+04,3.115e+04,1.139e+04,6.051e+04
183.9,1.725e+04,2.808e+04,1.016e+04,5.549e+04
185.4,1.434e+04,2.497e+04,9.148e+03,4.845e+04
186.9,1.167e+04,2.081e+04,8.143e+03,4.063e+04
188.4,1.001e+04,1.732e+04,7.077e+03,3.441e+04
189.9,1.070e+04,1.538e+04,6.371e+03,3.245e+04
191.3,1.310e+04,1.452e+04,6.048e+03,3.367e+04
192.8,1.638e+04,1.313e+04,5.629e+03,3.515e+04
194.3,2.007e+04,1.341e+04,5.990e+03,3.946e+04
195.8,2.259e+04,1.508e+04,6.423e+03,4.410e+04
197.3,2.455e+04,1.746e+04,7.013e+03,4.903e+04
198.8,2.412e+04,2.064e+04,8.022e+03,5.278e+04
